fatigued30,lat,lon
fatigued30, 40.843489, -74.042859 
fatigued30, 40.843489, -74.030805 
fatigued30, 40.843489, -74.018751 
fatigued30, 40.843489, -74.006698 
fatigued30, 40.843489, -73.994644 
fatigued30, 40.843489, -73.982591 
fatigued30, 40.843489, -73.970537 
fatigued30, 40.843489, -73.958483 
fatigued30, 40.843489, -73.874108 
fatigued30, 40.843489, -73.837947 
fatigued30, 40.843489, -73.801787 
fatigued30, 40.843489, -73.789733 
fatigued30, 40.843489, -73.741519 
fatigued30, 40.843489, -73.729465 
fatigued30, 40.843489, -73.717411 
fatigued30, 40.843489, -73.705358 
fatigued30, 40.843489, -73.693304 
fatigued30, 40.843489, -73.681251 
fatigued30, 40.843489, -73.669197 
fatigued30, 40.843489, -73.657143 
fatigued30, 40.843489, -73.645090 
fatigued30, 40.853053, -74.211609 
fatigued30, 40.853053, -74.199555 
fatigued30, 40.853053, -74.187502 
fatigued30, 40.853053, -74.175448 
fatigued30, 40.853053, -74.163395 
fatigued30, 40.853053, -74.151341 
fatigued30, 40.853053, -74.139287 
fatigued30, 40.853053, -74.127234 
fatigued30, 40.853053, -74.115180 
fatigued30, 40.853053, -74.103127 
fatigued30, 40.853053, -74.091073 
fatigued30, 40.853053, -74.079019 
fatigued30, 40.853053, -74.066966 
fatigued30, 40.853053, -74.054912 
fatigued30, 40.853053, -74.042859 
fatigued30, 40.853053, -74.030805 
fatigued30, 40.853053, -74.018751 
fatigued30, 40.853053, -74.006698 
fatigued30, 40.853053, -73.994644 
fatigued30, 40.853053, -73.982591 
fatigued30, 40.853053, -73.970537 
fatigued30, 40.853053, -73.958483 
fatigued30, 40.853053, -73.813840 
fatigued30, 40.853053, -73.801787 
fatigued30, 40.853053, -73.789733 
fatigued30, 40.853053, -73.777679 
fatigued30, 40.853053, -73.753572 
fatigued30, 40.853053, -73.741519 
fatigued30, 40.853053, -73.729465 
fatigued30, 40.853053, -73.717411 
fatigued30, 40.853053, -73.705358 
fatigued30, 40.853053, -73.693304 
fatigued30, 40.853053, -73.681251 
fatigued30, 40.853053, -73.669197 
fatigued30, 40.853053, -73.657143 
fatigued30, 40.853053, -73.645090 
fatigued30, 40.853053, -73.633036 
fatigued30, 40.862617, -74.211609 
fatigued30, 40.862617, -74.199555 
fatigued30, 40.862617, -74.187502 
fatigued30, 40.862617, -74.175448 
fatigued30, 40.862617, -74.163395 
fatigued30, 40.862617, -74.151341 
fatigued30, 40.862617, -74.139287 
fatigued30, 40.862617, -74.127234 
fatigued30, 40.862617, -74.115180 
fatigued30, 40.862617, -74.103127 
fatigued30, 40.862617, -74.091073 
fatigued30, 40.862617, -74.079019 
fatigued30, 40.862617, -74.066966 
fatigued30, 40.862617, -74.054912 
fatigued30, 40.862617, -74.042859 
fatigued30, 40.862617, -74.030805 
fatigued30, 40.862617, -74.018751 
fatigued30, 40.862617, -74.006698 
fatigued30, 40.862617, -73.994644 
fatigued30, 40.862617, -73.982591 
fatigued30, 40.862617, -73.874108 
fatigued30, 40.862617, -73.825894 
fatigued30, 40.862617, -73.813840 
fatigued30, 40.862617, -73.801787 
fatigued30, 40.862617, -73.789733 
fatigued30, 40.862617, -73.777679 
fatigued30, 40.862617, -73.765626 
fatigued30, 40.862617, -73.753572 
fatigued30, 40.862617, -73.741519 
fatigued30, 40.862617, -73.729465 
fatigued30, 40.862617, -73.717411 
fatigued30, 40.862617, -73.705358 
fatigued30, 40.862617, -73.693304 
fatigued30, 40.862617, -73.681251 
fatigued30, 40.862617, -73.669197 
fatigued30, 40.862617, -73.657143 
fatigued30, 40.862617, -73.645090 
fatigued30, 40.862617, -73.633036 
fatigued30, 40.872181, -74.211609 
fatigued30, 40.872181, -74.199555 
fatigued30, 40.872181, -74.187502 
fatigued30, 40.872181, -74.175448 
